,iati_identifier,reporting_org_narrative,title_narrative,description_narrative,participating_org_narrative,contact_info_organisation_narrative,recipient_country_code,sector_code,sector,sector_narrative,transaction_transaction_type_code,transaction_transaction_date_iso_date,transaction_value,default_currency,transaction_description_narrative,transaction_provider_org_ref,transaction_provider_org_narrative,year,month,day
1600,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2020-12-31T00:00:00Z,112995,USD,,,,2020,12,31
1601,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2019-12-31T00:00:00Z,118157,USD,,,,2019,12,31
1602,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2022-04-30T00:00:00Z,40235,USD,,,,2022,4,30
1603,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2020-12-31T00:00:00Z,960221,USD,,,,2020,12,31
1604,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2019-12-31T00:00:00Z,818,USD,,,,2019,12,31
1605,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2020-12-31T00:00:00Z,1772,USD,,,,2020,12,31
1606,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2021-12-31T00:00:00Z,825,USD,,,,2021,12,31
1607,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2020-12-31T00:00:00Z,257548,USD,,,,2020,12,31
1608,XM-DAC-41122-Niger-3180/A0/07/883/003,UNICEF,WASH ENABLING ENVIRONMENT,"New Element\, which contributes to Reducing Child Poverty\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices\, Safe And Equitable Water\, Sanitation And Hygiene Services And Practices  (Covid)\, Water\, Sanitation And Hygiene Systems And Empowerment Of Communities. UNICEF aims to achieve this through Advocacy And Public Engagement\, Developing And Leveraging Resources And Partnerships\, Risk-Informed Humanitarian And Development Nexus Programming\, Systems Strengthening And Institution Building\, Systems Strengthening To Leave No One Behind. This contributes to the following Country Programme result: Girls and boys\, especially the most vulnerable\, and those in humanitarian situations\, use safe and clean drinking water and\rsanitation services in a clean and safe environment and adopt appropriate hygiene practices.","DIRECTION REGIONALE HYDRAULIQUE ZDR ZINDER,Global - Water Sanitation & Hygiene,USA USAID,United States Fund for UNICEF,DIRECTION GENERALE L HYDRAULIQUE AG ADM PROGRAMME EHA UNICEF,Germany,DISTRICT SANITAIRE DE DIOUNDOU,Italy,SOLIDARITES INTERNATIONAL,DIRECTION REGIONALE SANTE PUBLIQUE AGADEZ,UNICEF,European Commission / ECHO,DIRECTION REGIONALE SANTE PUBLIQUE ZINDER,United Kingdom Committee for UNICEF,Global - Thematic Humanitarian Resp,DEVELOPPEMENT EQUITE DURABILITE ET INNOVATION,INTERNATIONAL AID SERVICES IAS NIGER,DISTRICT SANITAIRE TAHOUA COMMUNE,Japan,UNOCHA,ONG ACTED,ONG CISP COMITATO INTERNAZIONALE PER LO SVILUPPO DEI POPOLI,UNICEF Regular Resources,Netherlands,DIRECTION REGIONALE SANTE PUBLIQUE DIFFA,HELP,MINISTERE DE LA SANTE PUBLIQUE ET DE LA LUTTE CONTRE LES ENDEMIES,DREP TAHOUA,MECANISME COMMUN DE FINANCEMENT,DIRECTION REGIONALE SANTE PUBLIQUE NIAMEY,The United Kingdom,SIDA - Sweden,Czech Republic (The),UNICEF-United Arab Emirates,DIRECTION REGIONALE SANTE PUBLIQUE TILLABERY,Bureau for Humanitarian Assistance,APPUI AUX ACTIVITES WASH UNICEF DRH TAHOUA,UNICEF,MINISTERE DE L HYDRAULIQUE ET DE L ENVIRONNEMENT,USA (State) BPRM,DIRECTION REGIONALE HYDRAULIQUE MI MARADI,PROGRAMME EHA UNICEF DRHA DOSSO,ACCION CONTRA EL HAMBRE,PROGRAMME EHA UNICEF DRHA DIFFA,DIRECTION REGIONALE HYDRAULIQUE DRH TILLABERY",UNICEF Niger,NE,14020,Water supply and sanitation - large systems,"Hand Hygiene in communities –service delivery,Water Supply in communities –service delivery – rural,Sanitation in communities –service delivery – urban,Sanitation in communities –service delivery – rural,Overall WASH – systems strengthening (e.g. sector-wide coordination\, enabling environment and financing advocacy),Health education,Water sector policy and administrative management,Basic drinking water supply,Clean Water and Sanitation,Water supply and sanitation - large systems",2,2021-12-31T00:00:00Z,46329,USD,,,,2021,12,31
1665,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2014-12-31T00:00:00Z,1450924,USD,Total Disbursement in Fourth Quarter of 2014,44002,International Development Association,2014,12,31
1666,44000-P117365,World Bank,Urban Water and Sanitation Project,The Objective of the Project  is to increase access to sustainable water supply services and to improved sanitation services in some urban areas in the recipient' s territory.,"International Development Association,Republic of Niger\, Ministry of Planning,International Development Association,Ministry of Hydraulic and Sanitation,Cellule de Coordination du PEAMU,Societe de Patrimoine des Eaux du Niger (SPEN)",The World Bank,NE,14021,Water supply - large systems,"Sanitation,Water Supply,Public Administration - Water\, Sanitation and Waste Management,Services and Housing for the Poor,Urban Development",3,2015-03-31T00:00:00Z,3326266,USD,Total Disbursement in First Quarter of 2015,44002,International Development Association,2015,3,31
